Company Name,Job Title,Location,Job Posting Link,Date Applied,Salary,Receive Interview,Application Status,Follow-up Date,Referral / Contact Name,Notes,How Applied,Category,ATS Score,
Helic & Co,Project Manager,Canada,https://www.linkedin.com/jobs/view/4334048195/?trackingId=5KlG8NLcAG0aQ88jceD1fg%3D%3D&refId=wJJ5EWVwHN4A6qhC4JuLlg%3D%3D&midToken=AQH8DxBJnGJ9gw&midSig=0Mia8UOiR7cc01&trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_15009161148&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_15009161148-null-19ddgc~mhm0v3tw~nr-null-null&eid=19ddgc-mhm0v3tw-nr&otpToken=MTUwMzFjZTAxNDI4YzFjMGJlMmYwMmVjNDQxZGUzYmQ4ZGNjZDY0OTlmYTg4NTY5NzBjMDA0NmY0ODU5NTRmMGZjYmY5M2I2NGFkMmVmODg1Y2RmYjBmNGUzNjUwNzkwMWUzMTA2NmFiNjk2NmE1MWJlLDEsMQ%3D%3D,05/11/2025,,No,,,,,LinkedIn Application,,,
Genesys,Senior Project Manager,Toronto,https://www.linkedin.com/jobs/view/4317498631/?refId=5b60a421-388d-4095-b2d7-c68cf1d5d69e&trackingId=lq3TamO6TtiIQ7GJ2bToDA%3D%3D,,"Genesys Cloud, the AI-powered Experience Orchestration platform, organizations can accelerate growth by delivering empathetic, personalized experiences at scale to drive customer loyalty, workforce engagement, efficiency and operational improvements.",No,,,,"We have reviewed your background, and although your skills and experiences are impressive, we have decided to move forward with other applicants whose qualifications more closely meet our current needs for this role.",LinkedIn Application,Loyalty,,
Cossette,Project Manager,Toronto,https://pluscompany.talentpoolbuilder.com/Project%2520Manager/252910,06/11/2025,,No,,,,,LinkedIn Application,,,
Monks,Senior Project Manager,,,10/11/2025,"Salary Range$70,000—$85,000 CAD",No,,,,,LinkedIn Application,,,
Torinit,Project Manager,,https://www.linkedin.com/jobs/search/?alertAction=viewjobs&currentJobId=4321745188&distance=25&f_TPR=a1762729292-&geoId=101174742&keywords=program%20manager&origin=JOB_ALERT_IN_APP_NOTIFICATION&originToLandingJobPostings=4335152364%2C4321745188%2C4321756580%2C4335123079%2C4335004592%2C4321626060&savedSearchId=1738446733&sortBy=R,11/11/2025,,No,,,,,LinkedIn Application,,,
Boston Scientific,Associate PM,,,,"$66500  - 131,800",No,,,,,LinkedIn Application,,,
Toyota,Project Manager,Scarborough,"glassdoor.ca/job-listing/project-manager-toyota-JV_IC2281799_KO0,15_KE16,22.htm?jl=1009935438330&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos4-1009935438330&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=6B8754E2C0BE352416D52324D0E19531&ao=1136043&jrtk=5-yul1-0-1j9sj41agia6g800-3a3b69d8dd782519&cs=1_1d66225c&s=224&t=JA&pos=104&ja=248532503&guid=0000019a792d5ac7997e6abecf0d9ee3&jobListingId=1009935438330&vt=e&cb=1762969912873&ctt=1763093446754&srs=EMAIL_JOB_ALERT&gdir=1",15/11/2025,,No,,,,,Glassdoor,,,
Accenture,AI Technical Product Manager,,https://www.linkedin.com/jobs/view/4322854295/?trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_1675100344&refId=r3DmK4u2bDhtahLt0Y7FhA%3D%3D&trackingId=8U6f%2B%2BylafYECow%2BtWDQ4A%3D%3D,17/11/2025,,No,,,,,LinkedIn Application,,,
Verathon,Program Manager III,BC,https://intl-careers-verathon.icims.com/jobs/1637/program-manager-iii/job?mode=submit_apply,17/11/2025,"$93,040 - $133,888  ",No,,,,,LinkedIn Application,,,
Switchboard,Technical Project Manager,Remote,https://www.withswitchboard.com/careers/technical-project-manager,18/11/2025,,No,,,,,LinkedIn Application,,,
CarFax,Project Manager,"London, ON",https://jobs.jobvite.com/carfax/job/oXSwyfwD?nl=1&fr=true,18/11/2025,110 - 115K,Yes,HR,,,,Indeed,,,
Bilingual Source,Relationship Collector – Bilingual,Pickering,https://bilingualsource.com/jobs/bilingual-collector-15890/,18/11/2026,"CA$66,000 - CA$72,000",No,,,,,Bilingual Source,,,
Bilingual Source,Bilingual CSR and Admin Support,Etobicoke,https://bilingualsource.com/jobs/bilingual-customer-service-and-admin-support-rep-french-english-15904/?matador-apply=complete,,"CA$40,000 - CA$45,000",No,,,,,Bilingual Source,,,
OpTrust,Project Leader,Toronto,https://ca.indeed.com/viewjob?jk=b907871eb929db74&q=project+manager&l=Greater+Toronto+Area%2C+ON&tk=1jad84oseg9vg800&from=ja&alid=68f91d99d479c11dce0e2b68&g1tAS=true&xpse=SoCn67I3qPQZGRxMwJ0LbzkdCdPP&xfps=d49e143d-941d-4a6a-b09e-e8096d609298&utm_campaign=job_alerts&utm_medium=email&utm_source=jobseeker_emails&rgtk=1jad84oseg9vg800&xkcb=SoAB67M3qNYctvU_Wh0JbzkdCdPP,22/11/2025,,No,,,,,Indeed,,,
Sportlogiq,Technical Program Manager,Canada,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4311524936,22/11/2025,,No,,,,,LinkedIn Application,,,
Bioscript Solution,Program Manager,,,,,No,,,,,LinkedIn Application,,,
Appnovation,Senior Project Manager,,,,,No,,,,,LinkedIn Application,,,
Boston Scientific,R&D Project Manager ,,,,,No,,,,,LinkedIn Application,,,
Bond ,Senior Project Manager,,,,,No,,,,,LinkedIn Application,,,
Zapcom,Project Manager,,,,,No,,,,,LinkedIn Application,,,
Clutch,Project Manager,Mississauga,https://job-boards.greenhouse.io/clutch/jobs/5725110004?gh_src=ca458a634us,02/12/2025,,No,,,,,LinkedIn Application,,,
whiteCap,Software Development Project Manager,North York,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4325239626&originToLandingJobPostings=4325429033%2C4325239626%2C4325259016%2C4325287778%2C4340793650,03/12/2025,,Yes,HR,,,,LinkedIn Application,,,
Bits In Glass,Delivery Manager,Canada ( remote),https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4340793650&originToLandingJobPostings=4325429033%2C4325239626%2C4325259016%2C4325287778%2C4340793650,03/12/2025,,No,,,,,LinkedIn Application,,,
Ranstad,Intermediate Project Manager/Leader,Toronto,,03/12/2025,,No,,,,,LinkedIn Application,,,
Konrad,Project Manager,Toronto,https://www.linkedin.com/jobs/search/?alertAction=viewjobs&currentJobId=4348022505&distance=25&f_TPR=a1764702081-&geoId=100761630&keywords=digital%20project%20manager&origin=JOB_ALERT_IN_APP_NOTIFICATION&originToLandingJobPostings=4348022505%2C4341232800%2C4341263491%2C4337446721%2C4325287778%2C4325248662&savedSearchId=1675100344&sortBy=R,03/12/2025,,No,,,,,LinkedIn Application,,,
Nuclear Promise X,Sr Digital  Project Manager,Toronto,,03/12/2026,,No,,,,,LinkedIn Application,,,
Klick Health,Sr Digital Project Manager,Toronto,https://www.linkedin.com/jobs/search-results/?currentJobId=4325787546&keywords=klick%20health&origin=SEMANTIC_SEARCH_LANDING_PAGE,08/12/2025,,No,,,,,LinkedIn Application,,,
Loblaws Digital,Technical Program Manager,Toronto,https://www.linkedin.com/jobs/search-results/?currentJobId=4336244575&eBP=CwEAAAGbC4MITHNHxqZDxRH3CejSu04P0Z0mBjdRF9wVrl00K-6tNdq1vLo1_0d8XYteYuAYRRDK7HVaML0-ocZ9VrOXsgnM1kIIMXJ2wSAeaRUZMdUaLhg8FT-4PRdNvyN7XngKFcK1A-HjERjbSEJkX8adqLTSQ6XMANsHYYLtIfGTb6xRB-bQEfgckEDOHHZaQBQZTrX8T22xRWDnwLY7RW0X9Rqp59-TCemO2e4IYGSMdKZi2hXL2HNFz0_uNjbPRzyDDRe1B0YBrDoQLZhcJFS67Tn1pPEhNSkUMA_ZZUj-SeOiEIJw_jJs4_9E7TD8kA-Rm8k4_pbyKPUWZllFxM9JSgNS2SOPFV4VUH2fi8TXh5DvzCC0Kmykgjr3BhTnjQ7AtrJW4zr3d3dZTg3W3nV1oWgmlAEXPtYWRp4JIwRX1yvyklRoCwspSQJbpD2jQ15wyBPZ5KwmETg5wdz6IVLNDs1K9LgAgKB2cfCUktgkxxNMp3DP1QImX1dBvw&refId=pm5DUD8GYc4KMxCpkJTuTQ%3D%3D&trackingId=H%2B%2BQC1UQBnSZml7HzPjbGg%3D%3D&keywords=Loblaws&origin=JOB_SEARCH_PAGE_JOB_FILTER&referralSearchId=qePpukQePwbYVCuMEggMSQ%3D%3D&f_C=9450129,,80 - 110K,No,,,,,LinkedIn Application,,,
Mastercard,Lead Technical Program Manager,Toronto,https://www.linkedin.com/jobs/search-results/?currentJobId=4349760724&eBP=CwEAAAGbFa6gDXxr8JWbNHbuJv0vlfx0F9Mj_HN5yfXBhhdi--LrQtxWXRbfmBq8xIBzyGYoUJ7kWiFqsPiS7h1hjYfEKvsCeLEZruh8ZG6P9dtI_NsUqbMmiCnTyAkBcAGyLOAP0ZrBZJMOWPmfc8Dua6cSmL0CMb17hjN9Z1P83Q84eCrW5twZXfR_Dcss3W_6o_5D3dp7gbkklEGIrojt28ZulS9p9SMFo3uHDAKKdby_HWd2ONaAzLyezbxRZ5-rlpdGbXQSksF5o23DQ63OJavSHnpqa4EV8PHAHT0ofCSZ4cJt_hw1pbcj243DTcfFj6NjYwWMU5RABNJG-ga3RaaFTMrUjfYe0v4brTRBrni6tTUEDAKAFw_iNfNZ_KJvIcsgqXLpLHs3ObvJnci-eEovMO8yqu3-mN1_42TQ1yrI8uXBMZlKwE1BZmMlYH4jOlOF7XYlBBCDUdRT7fBAhPGNj4Xm0t89twsCE-dFXEUZnH8J_3FLki4fjAec7Lgd&refId=NqPNlaA8yXPa6UfR%2F6UlFA%3D%3D&trackingId=Q6Ukz5bJE55XhIhbTLGMUQ%3D%3D&keywords=mastercard&origin=JOBS_HOME_SEARCH_BUTTON,12/12/2025,,Yes,,,,,LinkedIn Application,,,
Real Chemistry,AI Program Manager,,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4343425180,,,No,,,,,LinkedIn Application,,,
IPSG Technology,Senior Bilingual PM,Remote,https://ca.indeed.com/viewjob?jk=e1ef62df06f8c082&tk=1jcer82nu2076001&from=jobi2a&advn=5104088692386032&adid=454715338&ad=-6NYlbfkN0DfoveUP7STM3ywrW5Z_mx81xshTHHBVI-6rnFyI1pxeSnLIotEc32urch8ipMSU0FgCQgNdm1BV0Vhj3Sze8lVi5r7KVeBF5QwOpitYlVeHp_OP3fLsyLgCosyhvOUwYcVM0vmNtKytpVDIlferbwiHZOzWPSh84o81uYEuv6P5FdRQqnUubaHnKmQHGFCiK2kz6Ktr2RPBlw2uO3BGDy-Ow00YYqxhSwImSk2LiC5djuruwVJfylTwklVvZnPsw6_lybE7t7Z5HxypJRREQr4mXATGNv7lxB2sNLS-OIo4tr8myxXHZYnnMhdIRXOUl_1NYOyizc8kP7E58ayfexVaDuF_k54L0mWqsvJhL-ISCOYeRts25yLSX0sK8CzKYRx349hL3Ctsuu-xnwknpe5VDTjnpSqwfJfCQ1XLK9SFf5_IEC4v7LmXQ17iQ_aQWed0XJjwi3oaHM1l8N5e146OnaihAd_o_m4IAO4VSEDV4QjfZ1pBL792rr5f38SHyaRCy0IEd9KsiLBK27aq2wjSHz0PRvcU4ptdkkZpp1s6d8rfLCyK7rH9wYyfICzh9bbklH31Oll-GyIlrcTHX2uPO7TmVfl5Pfv5_c9g4mN3W6YshEk3sxn&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_jobmatch-en-CA_email&camk=UoKtGZLa3XKdG0Yht2jKEA%3D%3D&jrtk=5-cmh1-1-1jcer81vvhd3m808-e1ef62df06f8c082&xkcb=SoA06_M3pO-umxb1Vp0IbzkdCdPP&xpse=SoBp6_I3pPtZ7KSTyJ0IbzkdCdPP&xfps=01bdf425-5f0c-46e7-a4ff-495c1b6ea2f4,,"$90,369.31–$100,000.00",No,,,,,Indeed,,,
VersaFile ,Project Manager,Vancouver / Remote,https://versafile1.bamboohr.com/careers/124,31-Dec,,No,,,,,LinkedIn Application,,,
AMD,Technical Program Manager,Vancouver,https://www.linkedin.com/jobs/search/?alertAction=viewjobs&currentJobId=4344751420&distance=25&f_TPR=a1766011643-&geoId=101174742&keywords=program%20manager&origin=JOB_ALERT_IN_APP_NOTIFICATION&originToLandingJobPostings=4327905459%2C4314861957%2C4334678171%2C4344396731%2C4344579613%2C4324920707&savedSearchId=1738446733&sortBy=R,,,No,,,,No Interview -Technical Program Manager and the time you invested in applying for the opening. We regret to inform you that you were not selected for further consideration.,LinkedIn Application,,,
Ranstad,Order Management Representative / Project Coordinator - Etobicoke,Etobicoke - Contact - 6 months,https://ca.indeed.com/viewjob?jk=f497fb2f668127c7&tk=1jd058c2lh2bu801&from=jobi2a&advn=6742250592039354&adid=147267607&ad=-6NYlbfkN0DL1mgBEyOWwKTdt-fflRYWJGo3trZEDUBRi3gbejz7bX8A8V5xYxIgEK7VzIooFISBD_MsReT2UC4BQJbYu97T654ruUzvoKGHYTIfoWef4qz2nPaM5izfsJumeHBc6EKueJEFOSy-mMccBIcyp2oZ91LiYQnlhZ1ks1SgkhGSaMffCgLUrC2dsr8on4QAQVQdpTW65e3dfcRroy2cilwgdiGLm3ivAWsJ4OCxePNSpPjClG4zewAocN25avu7bPMDbWe3t2clFkynqa9AyBC-0Rqxg9WO3CL-DTiEwg7wpHqE6SevGDYMqmksz5UUWZq_QPOE_qFuy5pp8MlRCsdnONTeqZ_wsdlLkKFv_e7pcOgXchJfVyCTMVCFhQaDhLK-tWcOdmutcZQoCc-X133abB7AzGErEvg_Vh6casrrphcUpaSMh8ibEDFfi1wxJIfmWPGuw97Cz7h-OthIMYFaz5nsSk6zJgUJ_kILackImDPB0WJJcl9CFU4nUclMsEI1GLfsbFySS2UGFLVzgiOMa8Ew3NJ9UsbAlM6mjWuM0ToaOG5v9rY1YuTZDmEeqxBBG8j-Bfojz0hbrAIhXbaFFmiUsj54WF5_OepumDTphQ%3D%3D&sjdu=hHs8upk6_hte8gTEDu1nfdUiL4s7tK4v7lbXvQtppJdFM2BVwssAe4BVPdLd1LnmHet0jfvB7iMU16gvmLg1uPlYQatMyCy2RG6fJ3V3UwejKgBwqjzG1sYgivXWre0DucBUjYdw7_fJUtrasAnMWo3EL-OH2Cai_i9ybBgJ-AsWcJ7zFuBkkh8kPihnKBHCY1gvwKGdODJEzZp3hATGYlAd6QVUh4GJj-PlaG3XiQ6Iajw7wHzxEiT2nIJXarkseK8u1agY4qG8fUPyBPj9Ig&acatk=1jd1bp68fl50l802&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_multijob-en-CA_email&camk=saFI6hv5keMYCoW1rzWCrg%3D%3D&jrtk=5-cmh1-1-1jd058b9okh7e805-f497fb2f668127c7&xkcb=SoDN6_M3pgCuU80zrh0DbzkdCdPP&xpse=SoCl6_I3phfrEy3fsB0PbzkdCdPP&xfps=0af3afb9-df41-4f7f-9848-31284f4a7021,21/12/2025,,No,,,,,Indeed,,,
RBCX,Delivery Manager,,https://www.linkedin.com/jobs/search/?alertAction=viewjobs&currentJobId=4318144403&distance=25&f_TPR=a1766269418-&geoId=101174742&keywords=program%20manager&origin=JOB_ALERT_IN_APP_NOTIFICATION&originToLandingJobPostings=4318144403%2C4338155125%2C4305781596%2C4332309574%2C4296181202%2C4328492921&savedSearchId=1738446733&sortBy=R,,,No,,,,,LinkedIn Application,,,
BDO,Project Manager,,https://www.linkedin.com/jobs/collections/similar-jobs/?currentJobId=4345888502&originToLandingJobPostings=4329051992&referenceJobId=4345879366,25/12/2025,30/12/2025,Yes,HR,,,"Unfortunately at this time, we will not be moving forward with you to the next stage of the hiring process. We had a strong response to the role and deciding whom to move forward with was a difficult decision.",LinkedIn Application,,,
Dialogue,Project Manager,,,26/12/2025,,No,,,,,LinkedIn Application,,,
EPAM,Project Manager,,https://www.glassdoor.ca/Job/index.htm?utm_source=jobsForYou&utm_medium=email&utm_content=jobs-for-you-jobsForYou-jobpos1-age30d-1009914637026&utm_campaign=jobsForYou&src=GD_JOB_AD&uido=6B8754E2C0BE352416D52324D0E19531&ao=1110586&jrtk=5-yul1-1-1jdq5vkfvl6i9801-96d919e59392e715---6NYlbfkN0At4_yWz_5FNKvQkuXniNr5epOW55TQRxhZSczuckbjdAg6Qo6jLoKpUOtUdTgo3cJmp0nBdEAYTH7l4V6rXNr_oViu3zr7MOubpIn9ZipV1P_4Azwx9f0jt6Q_GJ5qmKQcXldiRj76csh068b43f2egY0ubSd1eRB62VCP2yvasFD_U1zcNQausZyMUm-BsJ7U0jAoCD-DfHkSqx3Feap4FQTyuyQmJU4B1SoOt9yRBI06d0MYlkqyGPgiFmqS_dbmOPXPArFfgx0HWmz10yjYyIRxDagPlZFdLY_QDCi41YpqMnhCG7usL2e831GVofOAfDHAvVdQ4xAEWp7OTJAm3jO_ka9mLx-Gl4-d2S3f220QJVM5asr_stBUUngHOSfAj1MekLQSA-SEHg4UmyA2g9-58AFiQOfprcj-DqBAtnY9eq_iNPt06X0nKR96-ywfWlQIlHvUy4Ilfe8_SER0mFzIeAxBs42WDceZe4HL_JGoQWyQkJVj6ziLA_Wjz3zZ_EG-0WKNg_MxBARD-fKccdmAs1pMgJvpvjKhzSV61xvkVJyvqR_j45EYaFyOGoqvsIZ5SxGuzJVoelnVaco-L0M4n7MkJ5DrcFzwrQ4ZYtWYhQTEZ1Ytq-oFx47XnxP9AJPmjUgpTdqtrx_2n1wXfRXwFPf9VIfuVSyCFlzq3gMEBBv7HBGlCo68sJGj0W0ullXs62D-7pwrkjyAsTNcNJ5K8cLHcByfvxZ4RWqCsfBkagMqPTfqHMA4neK73OaAq_Ulln_XxFs9Z5ZAuPABnrVifuLujCMeUF7bBjNgvx3ck4s8MBDAAKiVLzchMLLl_KyKfw4I6Y_ksxT99kobR-pRI_e6tpOm1KsXn2xJz2hg013_AoWsFridpKq6GKCQsnHqUBBVqS26kKTOrSRUMqQa_74HuxwR9VgJ-8DjYEqHRMCAHtWngZgfk7tQKim5XCHRyxAp_4Pu25pzySTKKM-bTJ7QAnj4zmt7sMMfzw%3D%3D&cs=1_1fb920b8&s=362&t=REC_JOBS&pos=101&cpc=FD1C1DA32C38CFA7&guid=0000019b6cd59f90b93128f3747d783a&jobListingId=1009914637026&rdforyou=true&vt=e&cb=1767183995848&gdir=1,,,No,,,,,Glassdoor,,,
Randem networks,Project Manager,,https://ca.indeed.com/viewjob?jk=0c2d303c7bf58d3f&tk=1jdnvn151jeme801&from=jobi2a&advn=9435900562428091&adid=455115353&ad=-6NYlbfkN0BJHcuIEhaP9uY8uc9MfaJIj-g1YTIu3GwNZ0jlDcJwXsIcprXnjqlSrv7tQfcRISQ4MOaD_rnTGP0twEVp1b3uSNy72OuF1jeWp8-H-wo0UYun2n3wsbOq2gJQBVhAFzPX-blc2JZAJSdq2jRC6po_0qmKZYXNqKi7Owvlks7ke9sh39pu3YEbIQj0gB8P4-PfgaHYmjiQGI2mjfmlVpmhhbFulsDnqQzxBUaw9-mEH8tlNndK5GWtKLzxMf9Ja3PD2y14o8X8TCeGUqqwhnP3b7ZSjs28feuBOZcxyVX3ms44lvGQAblmm0Vxo_7IeVujetZLQpFsLP6uKhixlexq2hpsRGA1BG6en3jkFnrcOHb-fgCo56-W_ijzC_qgKlHey_ekXSR2U6TVt5pdlS3-bslQC14kODDxRXHD8OgwdlJ-C12jvX15kFcMTygsC_gbfhycea9dZyeS9aqR64SGzaDfpZQv8ugBONe8_c2kuFP9ioJCRIyaym6DaLYNxsFOd0rlL5nWJBm7gJUug8fp4DfW6hm6KfwgW9W2oxt2p-DHRdrNkZq9-_Tzpj99MLEWd1ZADc6rCE6X5SaGUj1VCdSMGgnJ_uOQq37rTDigeQ%3D%3D&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_multijob-en-CA_email&camk=UoKtGZLa3XIWReLDEIVkYA%3D%3D&jrtk=5-cmh1-1-1jdnvn07m218q004-0c2d303c7bf58d3f&xkcb=SoD26_M3p33T8ZUCDJ0LbzkdCdPP&xpse=SoCJ6_I3p7nbGJzb2J0PbzkdCdPP&xfps=7a468b91-b708-4385-bd90-fce408a57fd2,,,No,,,,,Indeed,,,
Toronto Community Housing,"Project Control Officer, Information Technology Services",,https://www.glassdoor.ca/Job/jobs.htm?sc.occupationParam=Project+Control+Officer%2C+Information+Technology+Services&sc.locationSeoString=toronto&locId=2281069&locT=C&uvk=acbhbAc:1QI5tO36fF7InxOhNCLIpw&utm_medium=email&utm_source=jobsForYou&utm_campaign=jobsForYou&utm_content=jobs-for-you-jobsForYou-moreJobs&utm_term=jfytspvar2,01/07/2026,,No,,,,,Glassdoor,,,
Inorbital,Project Manager,,https://ca.indeed.com/viewjob?jk=fafa12c7be9629c9&tk=1jed1snsbiovk801&from=jobi2a&advn=4576313736783985&adid=455494754&ad=-6NYlbfkN0Dt4hLR1VYJGXabrQ5RTaFg1djtWz1acunBLJNnBCnxU1GcC2qkaSxUI3RJaXna_jmBsKKw9rIBL7yjMW_QZYa09vDXQib4T1pO4qr9WrjU4IW02rqqwY4877lL5DDq_lMfBRmqJUL8A7gdw744BcUwFOq3Otfg7jcz8a2V9hQhYcvKpfWgBwvM2BnrIJqUQl0xLblbBeQEZtbWOv20HBWoGuaQNDuUXomCV6UjR3jyq8OF0ngTEUS0Y2UoC1jge9_KUFZmoTxTRuy6kivaAkd9e6uT_zEGxZYiKiTyqx38HxdtshX7QW9v8sgLi_vOIDKL6ySL7wCofljPhovmesv6vEveWfyGgRJPbwy1mkx_LjAP9EgyFP00zAYJXduZto3X6F22kvnJFrQcGf_8zPLuyJemrckNO3fPpwZDumf8wlifNWhb4v2BVzBJNlPhujnDHcM3TB0zbJDNEgcq-zq80t7J7malzI-KmpmIyTvxL0IFXG4AP8pKrdvwk8yc5vAbxvxZvpZHFN-mm1Njl_dhIXpGgwrN7xMqntsTc4XBmGABDE9IZAhH&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_jobsourcer-en-CA_email&camk=UoKtGZLa3XJe1acv-T75jQ%3D%3D&xkcb=SoCZ6_M3oNL8VcWn5h0LbzkdCdPP&xpse=SoDY6_I3oNX5wyTbqJ0PbzkdCdPP&xfps=61330d6b-c58b-4008-9b39-d138e7c052cf,01/07/2028,"$75,000–$95,000 a year - Temporary, Fixed term contract",No,,,,,Indeed,,,
"Acquird.io · Toronto, ON (Hybrid)",Technical Project Manager,,,,"$110,000–$140,000 CAD base salary",No,,,,,LinkedIn Application,,,
